time_s,temperature_K,voltage_V,current_A,resistance_ohm,source_file,sample_current_mA_nominal,series_resistor,direction,field_condition,timestamp
21.73840618133545,80.15998900000002,1.85601232e-06,0.101109792,1.835640528268518e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
22.22140216827393,80.34787400000002,1.76601552e-06,0.1011092,1.7466417694927862e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
22.70390510559082,80.56861600000002,2.04632576e-06,0.101110344,2.0238540183386183e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
23.27460813522339,80.79260200000002,2.38753984e-06,0.1011104,2.361319745545463e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
23.67062020301819,81.02790700000003,2.51264736e-06,0.10111072,2.485045463033e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
24.16163516044617,81.20615200000003,2.00132496e-06,0.101110432,1.9793456722645592e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
24.63477921485901,81.43756000000002,2.08874272e-06,0.101110432,2.0658033782310416e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
25.22237706184387,81.64185500000002,1.86117008e-06,0.101109872,1.8407402197087143e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
25.60144114494324,81.89065900000003,2.32878368e-06,0.10111028,2.303211582442458e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
26.08383321762085,82.06890400000003,2.59820128e-06,0.101111064,2.5696508148702698e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
26.56673216819763,82.28878700000001,2.64821632e-06,0.101110712,2.6191253801080935e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
27.04961919784546,82.50255600000003,2.83337152e-06,0.101110784,2.8022446349540716e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
27.63446807861328,82.69778700000003,2.3180352e-06,0.101111584,2.2925515636269724e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
28.01559019088745,82.88074900000004,3.15523936e-06,0.101111224,3.120562915942942e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
28.77459120750427,83.11338800000001,3.48657024e-06,0.101110672,3.4482712566681387e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
28.98132705688477,83.38660100000001,4.59061856e-06,0.101110632,4.540193715731101e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
29.46326303482056,83.51705400000003,5.99847808e-06,0.101109728,5.9326418917871096e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
29.94683909416199,83.71146500000003,6.79197568e-06,0.101109992,6.71741293382755e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
30.42992210388184,83.90468300000003,8.07100224e-06,0.10110936,7.982448153168017e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
30.91281509399414,84.10815700000003,1.01072696e-05,0.101109384,9.996371454503175e-05,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
31.39534616470337,84.30920800000001,1.23451736e-05,0.101109544,0.00012209701588605722,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
31.87885713577271,84.50649000000001,1.56654816e-05,0.101109928,0.00015493514741697767,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
32.36128520965576,84.70713100000003,1.9529216e-05,0.101110112,0.0001931480008646415,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
33.13488721847534,84.88513300000002,2.45968848e-05,0.101109032,0.00024327089591758726,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
33.328045129776,85.15260200000003,2.99398464e-05,0.101109408,0.0002961133587094091,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
33.81027507781982,85.28182500000003,3.62815264e-05,0.101108912,0.00035883608756466496,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
34.29224014282227,85.47877400000002,4.30938336e-05,0.101108232,0.00042621488624190355,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
34.77528500556946,85.67322300000004,5.18938176e-05,0.10110812,0.0005132507418790894,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
35.25843214988708,85.87263300000004,6.330016e-05,0.101107544,0.0006260676255769798,100ma_100ohm_heat_magnet_2026.05.17T10.47.44.xlsx,100.0,100ohm,heat,magnet,2026.05.17T10.47.44
